expiry_code,strike,cp,oi,data_date
202608F2,40800,C,0,2026-08-05
202608F2,40800,P,1,2026-08-05
202608F1,40800,P,111,2026-08-05
202608F1,40850,C,0,2026-08-05
202608F2,40850,C,0,2026-08-05
202608F2,40850,P,2,2026-08-05
202608F1,40850,P,16,2026-08-05
202608F1,40900,C,0,2026-08-05
202608F2,40900,C,0,2026-08-05
202608F2,40900,P,5,2026-08-05
202608F1,40900,P,138,2026-08-05
202608F2,40950,C,0,2026-08-05
202608F1,40950,C,0,2026-08-05
202608F2,40950,P,4,2026-08-05
202608F1,40950,P,33,2026-08-05
202608F2,41000,C,0,2026-08-05
202608F1,41000,C,1,2026-08-05
202608F1,41000,P,821,2026-08-05
202608F2,41000,P,7,2026-08-05
202608F1,41050,C,0,2026-08-05
202608F2,41050,C,0,2026-08-05
202608F1,41050,P,82,2026-08-05
202608F2,41050,P,0,2026-08-05
202608F2,41100,C,0,2026-08-05
202608F1,41100,C,0,2026-08-05
202608F1,41100,P,308,2026-08-05
202608F2,41100,P,0,2026-08-05
202608F2,41150,C,0,2026-08-05
202608F1,41150,C,0,2026-08-05
202608F1,41150,P,8,2026-08-05
202608F2,41150,P,0,2026-08-05
202608F2,41200,C,0,2026-08-05
202608F1,41200,C,500,2026-08-05
202608F1,41200,P,64,2026-08-05
202608F2,41200,P,0,2026-08-05
202608F2,41250,C,0,2026-08-05
202608F1,41250,C,0,2026-08-05
202608F1,41250,P,50,2026-08-05
202608F2,41250,P,0,2026-08-05
202608F2,41300,C,0,2026-08-05
202608F1,41300,C,3,2026-08-05
202608F2,41300,P,1,2026-08-05
202608F1,41300,P,91,2026-08-05
202608F1,41350,C,0,2026-08-05
202608F2,41350,C,0,2026-08-05
202608F2,41350,P,0,2026-08-05
202608F1,41350,P,34,2026-08-05
202608F1,41400,C,1,2026-08-05
202608F2,41400,C,0,2026-08-05
202608F2,41400,P,4,2026-08-05
202608F1,41400,P,59,2026-08-05
202608F1,41450,C,0,2026-08-05
202608F2,41450,C,0,2026-08-05
202608F2,41450,P,0,2026-08-05
202608F1,41450,P,22,2026-08-05
202608F1,41500,C,2,2026-08-05
202608F2,41500,C,0,2026-08-05
202608F2,41500,P,5,2026-08-05
202608F1,41500,P,572,2026-08-05
202608F2,41550,C,0,2026-08-05
202608F1,41550,C,0,2026-08-05
202608F1,41550,P,30,2026-08-05
202608F2,41550,P,0,2026-08-05
202608F2,41600,C,0,2026-08-05
202608F1,41600,C,2,2026-08-05
202608F1,41600,P,108,2026-08-05
202608F2,41600,P,2,2026-08-05
202608F2,41650,C,0,2026-08-05
202608F1,41650,C,0,2026-08-05
202608F1,41650,P,15,2026-08-05
202608F2,41650,P,0,2026-08-05
202608F2,41700,C,0,2026-08-05
202608F1,41700,C,5,2026-08-05
202608F1,41700,P,43,2026-08-05
202608F2,41700,P,0,2026-08-05
202608F2,41750,C,0,2026-08-05
202608F1,41750,C,5,2026-08-05
202608F2,41750,P,2,2026-08-05
202608F1,41750,P,19,2026-08-05
202608F1,41800,C,0,2026-08-05
202608F2,41800,C,0,2026-08-05
202608F2,41800,P,3,2026-08-05
202608F1,41800,P,97,2026-08-05
202608F1,41850,C,0,2026-08-05
202608F2,41850,C,0,2026-08-05
202608F2,41850,P,2,2026-08-05
202608F1,41850,P,8,2026-08-05
202608F1,41900,C,5,2026-08-05
202608F2,41900,C,0,2026-08-05
202608F1,41900,P,57,2026-08-05
202608F2,41900,P,5,2026-08-05
202608F2,41950,C,0,2026-08-05
202608F1,41950,C,0,2026-08-05
202608F1,41950,P,18,2026-08-05
202608F2,41950,P,5,2026-08-05
202608F2,42000,C,0,2026-08-05
202608F1,42000,C,0,2026-08-05
202608F1,42000,P,899,2026-08-05
202608F2,42000,P,18,2026-08-05
202608F2,42050,C,0,2026-08-05
202608F1,42050,C,0,2026-08-05
202608F2,42050,P,3,2026-08-05
202608F1,42050,P,11,2026-08-05
202608F1,42100,C,0,2026-08-05
202608F2,42100,C,0,2026-08-05
202608F2,42100,P,0,2026-08-05
202608F1,42100,P,46,2026-08-05
202608F2,42150,C,0,2026-08-05
202608F1,42150,C,0,2026-08-05
202608F2,42150,P,12,2026-08-05
202608F1,42150,P,22,2026-08-05
202608F1,42200,C,2,2026-08-05
202608F2,42200,C,0,2026-08-05
202608F2,42200,P,0,2026-08-05
202608F1,42200,P,67,2026-08-05
202608F2,42250,C,0,2026-08-05
202608F1,42250,C,0,2026-08-05
202608F1,42250,P,99,2026-08-05
202608F2,42250,P,0,2026-08-05
202608F2,42300,C,0,2026-08-05
202608F1,42300,C,1,2026-08-05
202608F1,42300,P,80,2026-08-05
202608F2,42300,P,0,2026-08-05
202608F2,42350,C,0,2026-08-05
202608F1,42350,C,0,2026-08-05
202608F2,42350,P,0,2026-08-05
202608F1,42350,P,23,2026-08-05
202608F1,42400,C,0,2026-08-05
202608F2,42400,C,0,2026-08-05
202608F2,42400,P,2,2026-08-05
202608F1,42400,P,81,2026-08-05
202608F1,42450,C,1,2026-08-05
202608F2,42450,C,0,2026-08-05
202608F2,42450,P,0,2026-08-05
202608F1,42450,P,20,2026-08-05
202608F2,42500,C,0,2026-08-05
202608F1,42500,C,3,2026-08-05
202608F1,42500,P,272,2026-08-05
202608F2,42500,P,6,2026-08-05
202608F2,42550,C,0,2026-08-05
202608F1,42550,C,1,2026-08-05
202608F1,42550,P,21,2026-08-05
202608F2,42550,P,0,2026-08-05
202608F2,42600,C,0,2026-08-05
202608F1,42600,C,9,2026-08-05
202608F1,42600,P,71,2026-08-05
202608F2,42600,P,1,2026-08-05
202608F2,42650,C,0,2026-08-05
202608F1,42650,C,4,2026-08-05
202608F1,42650,P,18,2026-08-05
202608F2,42650,P,6,2026-08-05
202608F2,42700,C,1,2026-08-05
202608F1,42700,C,10,2026-08-05
202608F1,42700,P,56,2026-08-05
202608F2,42700,P,0,2026-08-05
202608F2,42750,C,0,2026-08-05
202608F1,42750,C,5,2026-08-05
202608F1,42750,P,52,2026-08-05
202608F2,42750,P,1,2026-08-05
202608F2,42800,C,1,2026-08-05
202608F1,42800,C,5,2026-08-05
202608F2,42800,P,0,2026-08-05
202608F1,42800,P,175,2026-08-05
202608F1,42850,C,5,2026-08-05
202608F2,42850,C,0,2026-08-05
202608F2,42850,P,2,2026-08-05
202608F1,42850,P,84,2026-08-05
202608F2,42900,C,0,2026-08-05
202608F1,42900,C,406,2026-08-05
202608F1,42900,P,124,2026-08-05
202608F2,42900,P,0,2026-08-05
202608F2,42950,C,0,2026-08-05
202608F1,42950,C,6,2026-08-05
202608F2,42950,P,0,2026-08-05
202608F1,42950,P,56,2026-08-05
202608F1,43000,C,22,2026-08-05
202608F2,43000,C,1,2026-08-05
202608F2,43000,P,1,2026-08-05
202608F1,43000,P,484,2026-08-05
202608F1,43050,C,0,2026-08-05
202608F2,43050,C,0,2026-08-05
202608F2,43050,P,0,2026-08-05
202608F1,43050,P,56,2026-08-05
202608F1,43100,C,3,2026-08-05
202608F2,43100,C,3,2026-08-05
202608F2,43100,P,1,2026-08-05
202608F1,43100,P,93,2026-08-05
202608F1,43150,C,0,2026-08-05
202608F2,43150,C,0,2026-08-05
202608F2,43150,P,5,2026-08-05
202608F1,43150,P,30,2026-08-05
202608F1,43200,C,501,2026-08-05
202608F2,43200,C,0,2026-08-05
202608F2,43200,P,6,2026-08-05
202608F1,43200,P,174,2026-08-05
202608F1,43250,C,0,2026-08-05
202608F2,43250,C,0,2026-08-05
202608F2,43250,P,5,2026-08-05
202608F1,43250,P,27,2026-08-05
202608F1,43300,C,18,2026-08-05
202608F2,43300,C,1,2026-08-05
202608F2,43300,P,6,2026-08-05
202608F1,43300,P,93,2026-08-05
202608F1,43350,C,12,2026-08-05
202608F2,43350,C,0,2026-08-05
202608F2,43350,P,5,2026-08-05
202608F1,43350,P,25,2026-08-05
202608F1,43400,C,15,2026-08-05
202608F2,43400,C,2,2026-08-05
202608F2,43400,P,17,2026-08-05
202608F1,43400,P,177,2026-08-05
202608F1,43450,C,15,2026-08-05
202608F2,43450,C,0,2026-08-05
202608F2,43450,P,5,2026-08-05
202608F1,43450,P,77,2026-08-05
202608F2,43500,C,0,2026-08-05
202608F1,43500,C,17,2026-08-05
202608F1,43500,P,397,2026-08-05
202608F2,43500,P,5,2026-08-05
202608F2,43550,C,0,2026-08-05
202608F1,43550,C,16,2026-08-05
202608F2,43550,P,1,2026-08-05
202608F1,43550,P,26,2026-08-05
202608F1,43600,C,12,2026-08-05
202608F2,43600,C,1,2026-08-05
202608F2,43600,P,2,2026-08-05
202608F1,43600,P,80,2026-08-05
202608F1,43650,C,2,2026-08-05
202608F2,43650,C,0,2026-08-05
202608F2,43650,P,0,2026-08-05
202608F1,43650,P,113,2026-08-05
202608F1,43700,C,9,2026-08-05
202608F2,43700,C,0,2026-08-05
202608F1,43700,P,59,2026-08-05
202608F2,43700,P,0,2026-08-05
202608F2,43750,C,0,2026-08-05
202608F1,43750,C,10,2026-08-05
202608F1,43750,P,160,2026-08-05
202608F2,43750,P,7,2026-08-05
202608F1,43800,C,32,2026-08-05
202608F2,43800,C,0,2026-08-05
202608F1,43800,P,75,2026-08-05
202608F2,43800,P,5,2026-08-05
202608F2,43850,C,6,2026-08-05
202608F1,43850,C,5,2026-08-05
202608F1,43850,P,40,2026-08-05
202608F2,43850,P,5,2026-08-05
202608F2,43900,C,6,2026-08-05
202608F1,43900,C,12,2026-08-05
202608F1,43900,P,69,2026-08-05
202608F2,43900,P,0,2026-08-05
202608F2,43950,C,5,2026-08-05
202608F1,43950,C,3,2026-08-05
202608F2,43950,P,5,2026-08-05
202608F1,43950,P,31,2026-08-05
